Settlement Location,InferredLocationType,est_Latitude,est_Longitude
OKGE.VOLT.0156,Resource,35.51692399213232,-97.09013180696074
OKGE.VOLT.0169,Resource,35.73241356787822,-97.99665363853381
OKGE.VOLT.0170,Resource,35.38901083291292,-102.13063041232424
OKGE.VOLT.0171,Resource,35.514879116593036,-97.18450050109502
SC,Interface,37.79975680989978,-92.03718497034136
SEC,Interface,37.79257075571698,-92.02266828663186
SEHA,Interface,37.78883694425825,-92.0051558281171
SERU,Interface,37.81127211155702,-91.98426260254656
SETH,Interface,37.8039608532537,-92.01430224689807
SOCO,Interface,37.829017840603235,-91.98982321506796
SPS.VOLT.0113,Resource,33.76492530063752,-102.35080154537002
SPS.VOLT.0117,Resource,34.6855884795085,-103.10118838042875
SPS.VOLT.0131,Resource,33.27494529406898,-103.99946096356463
SPS.VOLT.0136,Resource,36.58266360055236,-101.40848355499607
SPS.VOLT.0137,Resource,36.6205298967018,-101.37288343147846
SPS.VOLT.0142,Resource,36.59203316464855,-101.69164293383156
SPS.VOLT.0163,Resource,35.21189199768189,-101.56824765014768
TAL,Interface,37.790788700048466,-92.01142023768806
TEC,Interface,37.8246600886287,-92.0014242195456
WAUE.VOLT.0152,Resource,39.84642983861027,-100.10557662545104
WAUE.VOLT.0172,Resource,39.85270187976962,-103.4821931781628
WR.VOLT.0102,Resource,37.480201890383135,-97.0096169119448
WR.VOLT.0106,Resource,37.52967553065495,-97.0644117885609
WR.VOLT.0108,Resource,37.52995703253046,-97.09000851166675
WR.VOLT.0119,Resource,37.473894738790605,-94.73377429230459
WR.VOLT.0120,Resource,38.764396458424066,-96.43918646273839
WR.VOLT.0139,Resource,39.02725541247921,-95.38072289999607
WR.VOLT.0146,Resource,39.103594683917365,-95.4061537434124
WR.VOLT.0147,Resource,39.09790381676974,-95.45289619723816
WR.VOLT.0148,Resource,39.272468257771756,-95.67634284065676
WR.VOLT.0153,Resource,37.53736277186294,-96.95005884965718
WR.VOLT.0157,Resource,38.95709239221326,-95.42432329302379
WR.VOLT.0158,Resource,39.09365861878345,-95.38549315485095
WR.VOLT.0159,Resource,38.95590671261637,-95.42270595535587
WR.VOLT.0165,Resource,37.38795784060805,-97.00808309663906
